arm,seed,bearing_id,step_id,normalized_lifetime,predicted_health
source_only,20260918,Bearing3_1,0,0.0,0.15843814611434937
source_only,20260918,Bearing3_1,1,0.00039416633819471815,0.10328476130962372
source_only,20260918,Bearing3_1,2,0.0007883326763894363,0.11985483020544052
source_only,20260918,Bearing3_1,3,0.0011824990145841545,-0.09627999365329742
source_only,20260918,Bearing3_1,4,0.0015766653527788726,-0.016260020434856415
source_only,20260918,Bearing3_1,5,0.001970831690973591,0.05205349624156952
source_only,20260918,Bearing3_1,6,0.002364998029168309,0.14621032774448395
source_only,20260918,Bearing3_1,7,0.002759164367363027,0.1867275834083557
source_only,20260918,Bearing3_1,8,0.0031533307055577452,0.0612771101295948
source_only,20260918,Bearing3_1,9,0.0035474970437524636,0.08291826397180557
source_only,20260918,Bearing3_1,10,0.003941663381947182,0.10484082996845245
source_only,20260918,Bearing3_1,11,0.0043358297201418995,0.1077401340007782
source_only,20260918,Bearing3_1,12,0.004729996058336618,0.0467500314116478
source_only,20260918,Bearing3_1,13,0.005124162396531336,0.18762747943401337
source_only,20260918,Bearing3_1,14,0.005518328734726054,0.13313695788383484
source_only,20260918,Bearing3_1,15,0.005912495072920772,0.08339128643274307
source_only,20260918,Bearing3_1,16,0.0063066614111154905,0.11348795890808105
source_only,20260918,Bearing3_1,17,0.006700827749310209,0.055583350360393524
source_only,20260918,Bearing3_1,18,0.007094994087504927,0.015089306980371475
source_only,20260918,Bearing3_1,19,0.007489160425699645,-0.0016249995678663254
source_only,20260918,Bearing3_1,20,0.007883326763894364,0.028038792312145233
source_only,20260918,Bearing3_1,21,0.00827749310208908,0.03761114925146103
source_only,20260918,Bearing3_1,22,0.008671659440283799,-0.03917882591485977
source_only,20260918,Bearing3_1,23,0.009065825778478517,-0.09226144850254059
source_only,20260918,Bearing3_1,24,0.009459992116673236,-0.01856352761387825
source_only,20260918,Bearing3_1,25,0.009854158454867954,-0.013974610716104507
