arm,seed,bearing_id,step_id,normalized_lifetime,predicted_health
source_only,20260918,Bearing3_1,0,0.0,0.16686609387397766
source_only,20260918,Bearing3_1,1,0.00039416633819471815,0.11322836577892303
source_only,20260918,Bearing3_1,2,0.0007883326763894363,0.11749963462352753
source_only,20260918,Bearing3_1,3,0.0011824990145841545,-0.09335435926914215
source_only,20260918,Bearing3_1,4,0.0015766653527788726,-0.02408599853515625
source_only,20260918,Bearing3_1,5,0.001970831690973591,0.039212536066770554
source_only,20260918,Bearing3_1,6,0.002364998029168309,0.13247719407081604
source_only,20260918,Bearing3_1,7,0.002759164367363027,0.17152167856693268
source_only,20260918,Bearing3_1,8,0.0031533307055577452,0.039140429347753525
source_only,20260918,Bearing3_1,9,0.0035474970437524636,0.0891328901052475
source_only,20260918,Bearing3_1,10,0.003941663381947182,0.10439926385879517
source_only,20260918,Bearing3_1,11,0.0043358297201418995,0.11172899603843689
source_only,20260918,Bearing3_1,12,0.004729996058336618,0.05309578403830528
source_only,20260918,Bearing3_1,13,0.005124162396531336,0.20153853297233582
source_only,20260918,Bearing3_1,14,0.005518328734726054,0.13774199783802032
source_only,20260918,Bearing3_1,15,0.005912495072920772,0.0867120623588562
source_only,20260918,Bearing3_1,16,0.0063066614111154905,0.111692413687706
source_only,20260918,Bearing3_1,17,0.006700827749310209,0.042793191969394684
source_only,20260918,Bearing3_1,18,0.007094994087504927,0.019890964031219482
source_only,20260918,Bearing3_1,19,0.007489160425699645,0.007005834020674229
source_only,20260918,Bearing3_1,20,0.007883326763894364,0.030206236988306046
source_only,20260918,Bearing3_1,21,0.00827749310208908,0.03934558853507042
source_only,20260918,Bearing3_1,22,0.008671659440283799,-0.03109738975763321
source_only,20260918,Bearing3_1,23,0.009065825778478517,-0.0852985829114914
source_only,20260918,Bearing3_1,24,0.009459992116673236,-0.014795847237110138
source_only,20260918,Bearing3_1,25,0.009854158454867954,-0.008674971759319305
source_only,20260918,Bearing3_1,26,0.010248324793062672,-0.0446169413626194
source_only,20260918,Bearing3_1,27,0.01064249113125739,-0.06574881076812744
source_only,20260918,Bearing3_1,28,0.011036657469452107,-0.037139810621738434
