bearing_a,bearing_b,cosine
Bearing1_1,Bearing1_1,0.9999999999999999
Bearing1_1,Bearing1_2,0.9998806096818316
Bearing1_1,Bearing1_3,0.9999489611951115
Bearing1_1,Bearing1_4,0.9957847493299967
Bearing1_1,Bearing1_5,0.9996135079940394
Bearing1_2,Bearing1_1,0.9998806096818316
Bearing1_2,Bearing1_2,0.9999999999999998
Bearing1_2,Bearing1_3,0.9999238818567074
Bearing1_2,Bearing1_4,0.9968699230570565
Bearing1_2,Bearing1_5,0.9992839800841913
Bearing1_3,Bearing1_1,0.9999489611951115
Bearing1_3,Bearing1_2,0.9999238818567074
Bearing1_3,Bearing1_3,0.9999999999999999
Bearing1_3,Bearing1_4,0.9964496228072875
Bearing1_3,Bearing1_5,0.9993768166540272
Bearing1_4,Bearing1_1,0.9957847493299967
Bearing1_4,Bearing1_2,0.9968699230570565
Bearing1_4,Bearing1_3,0.9964496228072875
Bearing1_4,Bearing1_4,0.9999999999999998
Bearing1_4,Bearing1_5,0.9943738192942467
Bearing1_5,Bearing1_1,0.9996135079940394
Bearing1_5,Bearing1_2,0.9992839800841913
Bearing1_5,Bearing1_3,0.9993768166540272
Bearing1_5,Bearing1_4,0.9943738192942467
Bearing1_5,Bearing1_5,0.9999999999999999
