bearing_id,split,step_id,normalized_lifetime,distance_level,gru_level,gru_hidden_distance,gru_next_step_mse,included_in_common_score,gru_hidden_0,gru_hidden_1,gru_hidden_2,gru_hidden_3,gru_hidden_4,gru_hidden_5,gru_hidden_6,gru_hidden_7
Bearing1_1,train,0,0.0,,,0.48004812,0.16337626,False,0.8715289831161499,0.6750173568725586,-0.7700330018997192,0.7796064615249634,0.023420117795467377,-0.7421737909317017,0.8573105335235596,0.9588406682014465
Bearing1_1,train,1,0.00819672131147541,,,0.38988715,0.081559956,False,0.9381797313690186,0.8435286283493042,-0.6785702705383301,0.8056017756462097,-0.060518085956573486,-0.8746558427810669,0.968276858329773,0.9578626155853271
Bearing1_1,train,2,0.01639344262295082,,,0.30919665,0.06851371,False,0.936301052570343,0.8615173101425171,-0.6142432689666748,0.7983102798461914,-0.14560401439666748,-0.876144289970398,0.9765075445175171,0.9538794159889221
Bearing1_1,train,3,0.02459016393442623,,,0.24802727,0.031605907,False,0.9321089386940002,0.858156681060791,-0.5787845849990845,0.7913103103637695,-0.21461190283298492,-0.8659102320671082,0.9769433736801147,0.9485810399055481
Bearing1_1,train,4,0.03278688524590164,,,0.16477416,0.019619778,False,0.9185532927513123,0.8363314270973206,-0.5344588160514832,0.7634837031364441,-0.2796021103858948,-0.8380354046821594,0.9716231226921082,0.9286823272705078
Bearing1_1,train,5,0.040983606557377046,,,0.10641982,0.010338707,False,0.9072323441505432,0.8126224875450134,-0.5076534152030945,0.7408382296562195,-0.33294034004211426,-0.8163487315177917,0.9673222303390503,0.9106707572937012
Bearing1_1,train,6,0.04918032786885246,,,0.0718398,0.015856024,False,0.8939509391784668,0.7875025272369385,-0.4856942594051361,0.7157054543495178,-0.3770986497402191,-0.7918806076049805,0.9617342352867126,0.8915570974349976
Bearing1_1,train,7,0.05737704918032787,,,0.08820937,0.012846567,False,0.893160343170166,0.7867722511291504,-0.4827457368373871,0.7146621942520142,-0.4035460352897644,-0.7886208891868591,0.9615216255187988,0.8942100405693054
Bearing1_1,train,8,0.06557377049180328,,,0.10161542,0.0038910126,False,0.8892403244972229,0.7830526232719421,-0.4786111116409302,0.7072320580482483,-0.42550891637802124,-0.7853104472160339,0.960710883140564,0.888863205909729
Bearing1_1,train,9,0.07377049180327869,,,0.13360426,0.002448151,False,0.8678525686264038,0.7405732870101929,-0.44884446263313293,0.6698688268661499,-0.452190637588501,-0.7449964284896851,0.9490435123443604,0.8457044959068298
Bearing1_1,train,10,0.08196721311475409,,,0.16812737,0.012225281,False,0.8554399609565735,0.7201607823371887,-0.435632586479187,0.6493025422096252,-0.4670288562774658,-0.7244177460670471,0.9432711601257324,0.8287240862846375
Bearing1_1,train,11,0.09016393442622951,,,0.26462498,0.0028441334,False,0.8287578821182251,0.6617306470870972,-0.40142300724983215,0.6135079264640808,-0.48460209369659424,-0.6686755418777466,0.9282979965209961,0.7640962600708008
Bearing1_1,train,12,0.09836065573770492,,,0.28477558,0.006952971,False,0.822909951210022,0.6499075889587402,-0.39404746890068054,0.6019290685653687,-0.48867687582969666,-0.6511169672012329,0.9241478443145752,0.7666246294975281
Bearing1_1,train,13,0.10655737704918032,,,0.3366697,0.0014459459,False,0.8075003623962402,0.6250641942024231,-0.38251298666000366,0.5759559869766235,-0.4968138337135315,-0.6296811699867249,0.9156327843666077,0.7331629991531372
Bearing1_1,train,14,0.11475409836065574,,,0.30982345,0.0048916787,False,0.8123202919960022,0.6382503509521484,-0.3959251642227173,0.5785322785377502,-0.49621638655662537,-0.6420581936836243,0.9183540940284729,0.7587328553199768
