bearing_id,split,step_id,normalized_lifetime,included_in_common_score,raw_expected_stage,raw_stage,raw_confidence,raw_probability_0,raw_probability_1,raw_probability_2,centered_expected_stage,centered_stage,centered_confidence,centered_probability_0,centered_probability_1,centered_probability_2
Bearing1_1,train,0,0.0,False,0.0,0,1.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0
Bearing1_1,train,1,0.00819672131147541,False,1.0332733304379917e-15,0,0.9999999999999982,0.9999999999999982,2.0665466608759833e-15,0.0,6.236448894720516e-36,0,1.0,1.0,1.247289778944103e-35,0.0
Bearing1_1,train,2,0.01639344262295082,False,1.6768453966304256e-14,0,0.9999999999999662,0.9999999999999662,3.353690793260851e-14,0.0,4.4008877261606696e-35,0,1.0,1.0,8.801775452321339e-35,0.0
Bearing1_1,train,3,0.02459016393442623,False,5.616130575752013e-13,0,0.9999999999988765,0.9999999999988765,1.1232261151504026e-12,0.0,2.956354212496946e-34,0,1.0,1.0,5.912708424993892e-34,0.0
Bearing1_1,train,4,0.03278688524590164,False,1.5215544270494861e-05,0,0.9999695689114594,0.9999695689114594,3.0431088540989723e-05,0.0,2.6305375854852734e-31,0,1.0,1.0,5.261075170970547e-31,0.0
Bearing1_1,train,5,0.040983606557377046,False,0.49948328003659404,1,0.9989665600731881,0.00103343992681123,0.9989665600731881,0.0,3.520392962863264e-29,0,1.0,1.0,7.040785925726528e-29,2.72793e-319
Bearing1_1,train,6,0.04918032786885246,False,0.5,1,1.0,6.70449033530461e-17,1.0,0.0,5.356307625060976e-27,0,1.0,1.0,1.0712615250121951e-26,2.6003961650361794e-301
Bearing1_1,train,7,0.05737704918032787,False,0.5,1,1.0,1.7868809903771658e-28,1.0,0.0,2.4297033916054575e-27,0,1.0,1.0,4.859406783210915e-27,8.175019638205804e-302
Bearing1_1,train,8,0.06557377049180328,False,0.5,1,1.0,2.4393342853857678e-42,1.0,0.0,8.735063203883333e-27,0,1.0,1.0,1.7470126407766665e-26,3.3243496644983726e-298
Bearing1_1,train,9,0.07377049180327869,False,0.5,1,1.0,1.8402889036036867e-74,1.0,0.0,4.801287232763907e-23,0,1.0,1.0,9.602574465527814e-23,6.972263297464088e-272
Bearing1_1,train,10,0.08196721311475409,False,0.5,1,1.0,2.1562163039842847e-112,1.0,0.0,5.696325143080221e-22,0,1.0,1.0,1.1392650286160442e-21,3.9194519211670824e-261
Bearing1_1,train,11,0.09016393442622951,False,0.5,1,1.0,5.8490823857793456e-176,1.0,0.0,7.258936078595318e-18,0,1.0,1.0,1.4517872157190637e-17,5.314962381294591e-234
Bearing1_1,train,12,0.09836065573770492,False,0.5,1,1.0,6.321321639637536e-239,1.0,0.0,6.5868350560483425e-18,0,1.0,1.0,1.3173670112096685e-17,2.4532478321758303e-230
Bearing1_1,train,13,0.10655737704918032,False,0.5,1,1.0,1.620777382e-313,1.0,0.0,4.221783375772058e-16,0,0.9999999999999991,0.9999999999999991,8.443566751544116e-16,8.529903496453332e-220
Bearing1_1,train,14,0.11475409836065574,False,0.5,1,1.0,0.0,1.0,0.0,2.1533958617053362e-17,0,1.0,1.0,4.3067917234106724e-17,1.0154443278079874e-225
Bearing1_1,train,15,0.12295081967213115,True,0.5,1,1.0,0.0,1.0,0.0,3.902167807084568e-16,0,0.9999999999999991,0.9999999999999991,7.804335614169136e-16,1.162230729592481e-219
Bearing1_1,train,16,0.13114754098360656,True,0.5,1,1.0,0.0,1.0,0.0,4.306808194612832e-15,0,0.9999999999999916,0.9999999999999916,8.613616389225665e-15,2.050141063265355e-212
Bearing1_1,train,17,0.13934426229508196,True,0.5,1,1.0,0.0,1.0,0.0,4.509321539289942e-13,0,0.999999999999098,0.999999999999098,9.018643078579884e-13,7.355320800473874e-200
Bearing1_1,train,18,0.14754098360655737,True,0.5,1,1.0,0.0,1.0,0.0,2.944900899926624e-14,0,0.9999999999999412,0.9999999999999412,5.889801799853248e-14,2.499308217391291e-204
Bearing1_1,train,19,0.1557377049180328,True,0.5,1,1.0,0.0,1.0,0.0,1.8097719463243927e-13,0,0.9999999999996381,0.9999999999996381,3.6195438926487854e-13,5.208794574274769e-201
Bearing1_1,train,20,0.16393442622950818,True,0.5,1,1.0,0.0,1.0,0.0,1.2709532048511456e-13,0,0.9999999999997458,0.9999999999997458,2.5419064097022913e-13,3.174633374518193e-201
Bearing1_1,train,21,0.1721311475409836,True,0.5,1,1.0,0.0,1.0,0.0,2.0623605552563015e-09,0,0.9999999958752788,0.9999999958752788,4.124721110512603e-09,9.582815186513043e-179
Bearing1_1,train,22,0.18032786885245902,True,0.5,1,1.0,0.0,1.0,0.0,3.4642434967264566e-15,0,0.9999999999999933,0.9999999999999933,6.928486993452913e-15,2.3564581644969946e-206
Bearing1_1,train,23,0.1885245901639344,True,0.5,1,1.0,0.0,1.0,0.0,2.7216307791549776e-10,0,0.9999999994556739,0.9999999994556739,5.443261558309955e-10,4.515316663358793e-185
Bearing1_1,train,24,0.19672131147540983,True,0.5,1,1.0,0.0,1.0,0.0,1.297752255125612e-08,0,0.9999999740449551,0.9999999740449551,2.595504510251224e-08,8.586034923784747e-172
Bearing1_1,train,25,0.20491803278688525,True,0.5,1,1.0,0.0,1.0,0.0,7.37296982344939e-11,0,0.9999999998525406,0.9999999998525406,1.474593964689878e-10,1.6697940690898317e-181
Bearing1_1,train,26,0.21311475409836064,True,0.5,1,1.0,0.0,1.0,0.0,3.5428593456585975e-10,0,0.9999999992914281,0.9999999992914281,7.085718691317195e-10,2.859602404237957e-180
Bearing1_1,train,27,0.22131147540983606,True,0.5,1,1.0,0.0,1.0,0.0,6.756117124670563e-05,0,0.9998648776575063,0.9998648776575063,0.00013512234249341126,5.021736182328749e-153
Bearing1_1,train,28,0.22950819672131148,True,0.5,1,1.0,0.0,1.0,0.0,6.327919474670745e-10,0,0.9999999987344161,0.9999999987344161,1.265583894934149e-09,6.701875046819944e-173
Bearing1_1,train,29,0.23770491803278687,True,0.5,1,1.0,0.0,1.0,0.0,2.2848145804598435e-07,0,0.999999543037084,0.999999543037084,4.569629160919687e-07,4.615219514599722e-165
Bearing1_1,train,30,0.2459016393442623,True,0.5,1,1.0,0.0,1.0,0.0,3.387991789686686e-05,0,0.9999322401642067,0.9999322401642067,6.775983579373371e-05,7.297339786339143e-152
Bearing1_1,train,31,0.2540983606557377,True,0.5,1,1.0,0.0,1.0,0.0,1.40584131026786e-06,0,0.9999971883173795,0.9999971883173795,2.81168262053572e-06,1.2476814164835817e-156
Bearing1_1,train,32,0.26229508196721313,True,0.5,1,1.0,0.0,1.0,0.0,2.2323134108618993e-09,0,0.9999999955353731,0.9999999955353731,4.4646268217237985e-09,3.5521509032476917e-172
Bearing1_1,train,33,0.27049180327868855,True,0.5,1,1.0,0.0,1.0,0.0,1.2968857248856757e-07,0,0.9999997406228552,0.9999997406228552,2.5937714497713514e-07,8.100686490873602e-166
Bearing1_1,train,34,0.2786885245901639,True,0.5,1,1.0,0.0,1.0,0.0,0.046359342011046384,0,0.9072813159779074,0.9072813159779074,0.09271868402209277,6.9023314852661265e-137
