bearing_id,step_id,normalized_lifetime,health_score
Bearing3_1,0,0.0,-0.12548160552978516
Bearing3_1,1,0.00039416633819471815,0.17000317573547363
Bearing3_1,2,0.0007883326763894363,0.15522415935993195
Bearing3_1,3,0.0011824990145841545,0.11299347877502441
Bearing3_1,4,0.0015766653527788726,0.11906509101390839
Bearing3_1,5,0.001970831690973591,0.17520038783550262
Bearing3_1,6,0.002364998029168309,0.13544000685214996
Bearing3_1,7,0.0027591643673630273,0.1428043246269226
Bearing3_1,8,0.0031533307055577452,0.10494407266378403
Bearing3_1,9,0.0035474970437524636,0.08521108329296112
Bearing3_1,10,0.003941663381947182,0.12331023067235947
Bearing3_1,11,0.0043358297201418995,0.10551247745752335
Bearing3_1,12,0.004729996058336618,0.02367219887673855
Bearing3_1,13,0.005124162396531336,0.019127894192934036
Bearing3_1,14,0.005518328734726055,-0.05953250080347061
Bearing3_1,15,0.005912495072920773,-0.182112455368042
Bearing3_1,16,0.0063066614111154905,-0.3091789186000824
Bearing3_1,17,0.006700827749310209,-0.41829538345336914
Bearing3_1,18,0.007094994087504927,-0.5188472867012024
Bearing3_1,19,0.007489160425699646,-0.7014123201370239
Bearing3_1,20,0.007883326763894364,-0.9207738637924194
Bearing3_1,21,0.008277493102089082,-1.1569697856903076
Bearing3_1,22,0.008671659440283799,-1.299146294593811
Bearing3_1,23,0.009065825778478517,-1.5270782709121704
Bearing3_1,24,0.009459992116673236,-1.7614471912384033
Bearing3_1,25,0.009854158454867954,-2.0016372203826904
Bearing3_1,26,0.010248324793062672,-2.1088614463806152
Bearing3_1,27,0.01064249113125739,-2.3675670623779297
Bearing3_1,28,0.01103665746945211,-2.4922499656677246
Bearing3_1,29,0.011430823807646828,-2.420757293701172
Bearing3_1,30,0.011824990145841546,-2.2473464012145996
Bearing3_1,31,0.012219156484036263,-2.0177206993103027
Bearing3_1,32,0.012613322822230981,-1.7228832244873047
Bearing3_1,33,0.0130074891604257,-1.415015459060669
Bearing3_1,34,0.013401655498620418,-1.108339548110962
Bearing3_1,35,0.013795821836815136,-0.7099918127059937
Bearing3_1,36,0.014189988175009854,-0.3776819705963135
Bearing3_1,37,0.014584154513204573,0.06280307471752167
Bearing3_1,38,0.014978320851399291,0.41631025075912476
Bearing3_1,39,0.015372487189594008,0.6049832701683044
Bearing3_1,40,0.015766653527788728,0.7376022934913635
Bearing3_1,41,0.016160819865983445,0.850795567035675
Bearing3_1,42,0.016554986204178165,0.8709266781806946
Bearing3_1,43,0.01694915254237288,0.9237136840820312
Bearing3_1,44,0.017343318880567598,1.0165525674819946
Bearing3_1,45,0.017737485218762318,1.0342003107070923
Bearing3_1,46,0.018131651556957035,1.0559282302856445
Bearing3_1,47,0.018525817895151755,1.0738211870193481
Bearing3_1,48,0.01891998423334647,1.0805294513702393
Bearing3_1,49,0.01931415057154119,1.1272425651550293
Bearing3_1,50,0.019708316909735908,1.1548128128051758
Bearing3_1,51,0.02010248324793063,1.1388680934906006
Bearing3_1,52,0.020496649586125345,1.1311581134796143
Bearing3_1,53,0.02089081592432006,1.1178643703460693
Bearing3_1,54,0.02128498226251478,1.1471538543701172
Bearing3_1,55,0.0216791486007095,1.189827561378479
Bearing3_1,56,0.02207331493890422,1.1983550786972046
Bearing3_1,57,0.022467481277098935,1.1985794305801392
Bearing3_1,58,0.022861647615293655,1.1760151386260986
