bearing_id,step_id,normalized_lifetime,reconstruction_mse,level,trend,movement
Bearing3_1,0,0.0,0.33481577038764954,,,
Bearing3_1,1,0.00039416633819471815,0.331423282623291,,,
Bearing3_1,2,0.0007883326763894363,0.33236753940582275,,,
Bearing3_1,3,0.0011824990145841545,0.3240571916103363,,,
Bearing3_1,4,0.0015766653527788726,0.3181678354740143,,,
Bearing3_1,5,0.001970831690973591,0.3189755976200104,,,
Bearing3_1,6,0.002364998029168309,0.3255302309989929,,,
Bearing3_1,7,0.0027591643673630273,0.31447046995162964,,,
Bearing3_1,8,0.0031533307055577452,0.31698963046073914,,,
Bearing3_1,9,0.0035474970437524636,0.3010783791542053,,,
Bearing3_1,10,0.003941663381947182,0.3065275549888611,,,
Bearing3_1,11,0.0043358297201418995,0.29865485429763794,,,
Bearing3_1,12,0.004729996058336618,0.3066960573196411,,,
Bearing3_1,13,0.005124162396531336,0.3036315441131592,,,
Bearing3_1,14,0.005518328734726055,0.3018566966056824,,,
Bearing3_1,15,0.005912495072920773,0.30647170543670654,0.23607412038398795,0.0,1.167893556497854
Bearing3_1,16,0.0063066614111154905,0.30917641520500183,0.2554490170869832,0.019374896702995248,0.7344917456412761
Bearing3_1,17,0.006700827749310209,0.30558574199676514,0.2903049481847803,0.02711541390039618,0.42121175986270887
Bearing3_1,18,0.007094994087504927,0.2987152338027954,0.3104737080718952,0.025805469416151895,0.8240526394165893
Bearing3_1,19,0.007489160425699646,0.3160216212272644,0.26835257325337836,0.011958159672369285,3.5295886451816
Bearing3_1,20,0.007883326763894364,0.3110680878162384,0.2834375263079863,0.008448470228751203,1.7093712164209272
Bearing3_1,21,0.008277493102089082,0.31196048855781555,0.2853382030904542,0.006493460415357251,1.3660135036980188
Bearing3_1,22,0.008671659440283799,0.31014057993888855,0.28962899027484923,0.005495316890529585,0.684101897722729
Bearing3_1,23,0.009065825778478517,0.309839129447937,0.3062919195062202,0.0057740240683327665,0.5653286697962955
Bearing3_1,24,0.009459992116673236,0.31296801567077637,0.3129670271034887,0.005965061369519973,1.4383854097553472
Bearing3_1,25,0.009854158454867954,0.3195534944534302,0.3099432426731078,0.004205476168027792,2.4921243095542773
Bearing3_1,26,0.010248324793062672,0.3187432885169983,0.3279064022551828,0.0038219761507379334,1.6379153054084754
Bearing3_1,27,0.01064249113125739,0.3318168520927429,0.33451054411715375,0.005244159457672969,1.1057734780461346
Bearing3_1,28,0.01103665746945211,0.32830384373664856,0.2951099358866597,0.005325977266541764,5.331573422641384
Bearing3_1,29,0.011430823807646828,0.3099335730075836,0.3058472826789543,0.003371620423879876,1.5225268338083136
Bearing3_1,30,0.011824990145841546,0.31045258045196533,0.26223154783165437,-0.00041059429075876236,3.6921753769694883
Bearing3_1,31,0.012219156484036263,0.3085768222808838,0.23349930157969503,-0.005376268488475117,0.3232888282863192
Bearing3_1,32,0.012613322822230981,0.30529358983039856,0.20072138392018063,-0.011215426303680963,0.9845244485250324
Bearing3_1,33,0.0130074891604257,0.3092901408672333,0.14551979046247218,-0.017877050221098676,1.8623005241953252
Bearing3_1,34,0.013401655498620418,0.3175082802772522,0.08461292504977438,-0.02546710654492142,2.0071515753675278
Bearing3_1,35,0.013795821836815136,0.311959832906723,0.024064521900398705,-0.033793460159478365,2.4262651961547568
Bearing3_1,36,0.014189988175009854,0.31812554597854614,-0.08714088770954076,-0.0435228228015578,3.341957759000396
Bearing3_1,37,0.014584154513204573,0.32385003566741943,-0.19857626750610033,-0.0538593265209579,1.1972085409309041
Bearing3_1,38,0.014978320851399291,0.32497674226760864,-0.26806721950385276,-0.06415129469653194,1.116299626429663
Bearing3_1,39,0.015372487189594008,0.3254375457763672,-0.3810824619021712,-0.07306551775749141,2.887558842404033
Bearing3_1,40,0.015766653527788728,0.3067401945590973,-0.39194247144037175,-0.07715339948512878,6.559478483765446
Bearing3_1,41,0.016160819865983445,0.3099268972873688,-0.41875819547149173,-0.07669005810069092,1.4207767062183505
Bearing3_1,42,0.016554986204178165,0.3150283694267273,-0.45112414142570206,-0.07227117498134501,1.4965978629003338
Bearing3_1,43,0.01694915254237288,0.3200953006744385,-0.49007228186299906,-0.06575568423338518,2.4322554969917434
Bearing3_1,44,0.017343318880567598,0.3260478675365448,-0.5270441126750381,-0.05761315016540766,1.7965030135369509
Bearing3_1,45,0.017737485218762318,0.31377261877059937,-0.5586604401552668,-0.04781767856116086,1.8861436765760542
Bearing3_1,46,0.018131651556957035,0.33065733313560486,-0.5895208428720543,-0.04005586275115098,3.255269124460984
Bearing3_1,47,0.018525817895151755,0.3186720311641693,-0.5720157882985087,-0.03267879710038483,3.751514405958167
Bearing3_1,48,0.01891998423334647,0.3146727681159973,-0.5500129355549732,-0.024207766332640747,0.6406277746770366
Bearing3_1,49,0.01931415057154119,0.31951501965522766,-0.5076447819337028,-0.017542571029671376,0.7773573216083621
Bearing3_1,50,0.019708316909735908,0.3253183364868164,-0.5659763719046224,-0.013249010724250004,3.4192443066023746
Bearing3_1,51,0.02010248324793063,0.3333640396595001,-0.6265722731467633,-0.011938894507271583,1.7463611480814862
Bearing3_1,52,0.020496649586125345,0.3131209909915924,-0.6293281924917711,-0.01041787237666189,4.370081861871191
Bearing3_1,53,0.02089081592432006,0.31640294194221497,-0.6404652102243901,-0.00994081753254735,3.225083529859697
Bearing3_1,54,0.02128498226251478,0.31293076276779175,-0.6284154731842936,-0.009448348439031471,0.6198856288536679
Bearing3_1,55,0.0216791486007095,0.3247562348842621,-0.6310139318624455,-0.009976624856832997,3.305549784663847
Bearing3_1,56,0.02207331493890422,0.33620980381965637,-0.6130839506225254,-0.010707250458337704,1.2440356760331959
