step_id,level,trend,movement,bearing_id,split,normalized_lifetime
15,1.5771625922360424,0.0,0.8806192307539993,Bearing1_1,training,0.1229508196721311
16,1.653215942881633,0.07605335064559071,0.7406214069651202,Bearing1_1,training,0.1311475409836065
17,1.7678482900877048,0.09534284892583123,1.7476470110129987,Bearing1_1,training,0.1393442622950819
18,1.7868474397041827,0.07436868896104927,2.557197170824967,Bearing1_1,training,0.1475409836065573
19,1.8198666917186155,0.06190396957876958,0.23063640408959227,Bearing1_1,training,0.1557377049180328
20,1.8380288642731066,0.05209379303750704,1.2389768337863125,Bearing1_1,training,0.1639344262295081
21,1.9281316535089457,0.05266255100830598,4.445966381372639,Bearing1_1,training,0.1721311475409836
22,1.899783845265582,0.04614867022516641,8.527551291668047,Bearing1_1,training,0.180327868852459
23,1.9509521786709496,0.04344350340504802,5.377315846619987,Bearing1_1,training,0.1885245901639344
24,2.011855175132701,0.043018663554262475,1.3600462095990522,Bearing1_1,training,0.1967213114754098
25,2.081155992518972,0.04066597931370665,4.01150462620871,Bearing1_1,training,0.2049180327868852
26,2.1447554516278053,0.04074356894293955,0.7780915257069182,Bearing1_1,training,0.2131147540983606
27,2.2469789865048257,0.04808108957621866,5.480942720576944,Bearing1_1,training,0.221311475409836
28,2.302068584778828,0.053882462557455546,7.338061699922613,Bearing1_1,training,0.2295081967213114
29,2.3779226185526126,0.05977750696883507,2.215678111345446,Bearing1_1,training,0.2377049180327868
30,2.4832044861348423,0.0658616959418599,1.5658940320961596,Bearing1_1,training,0.2459016393442623
31,2.5167671649542993,0.07196311853455666,2.8577242577073987,Bearing1_1,training,0.2540983606557377
32,2.5920347872761935,0.07314521802015853,4.6744386277348235,Bearing1_1,training,0.2622950819672131
33,2.623921126946697,0.07108687411468373,1.0498331602903954,Bearing1_1,training,0.2704918032786885
34,2.70434841307351,0.06931847347993068,5.587971071604198,Bearing1_1,training,0.2786885245901639
35,2.818423680100499,0.06999855720039139,1.2688395797360423,Bearing1_1,training,0.2868852459016393
36,2.835597933348724,0.0669188042800529,9.836615072694691,Bearing1_1,training,0.2950819672131147
37,2.8661074391290495,0.06394426028231029,6.5749088389435935,Bearing1_1,training,0.3032786885245901
38,2.9037352281543125,0.059190193720888504,6.726991674766694,Bearing1_1,training,0.3114754098360656
39,2.905856423975858,0.05231583532403991,1.9256099127108015,Bearing1_1,training,0.319672131147541
40,2.9809257075401914,0.05015575865226425,8.65887928395991,Bearing1_1,training,0.3278688524590163
41,2.9859631033197767,0.04447497644242554,9.922956468925848,Bearing1_1,training,0.3360655737704918
42,2.9993049324999577,0.03885254836247479,3.9153512962316785,Bearing1_1,training,0.3442622950819672
43,2.965261590302075,0.028562358865233516,3.6877088010767656,Bearing1_1,training,0.3524590163934426
44,2.976372626622454,0.020102584807795865,9.922893106106384,Bearing1_1,training,0.360655737704918
45,2.9026025299410643,0.011926741902276309,9.020271639172881,Bearing1_1,training,0.3688524590163934
46,3.0010419168037576,0.00924492061986938,7.238784733809841,Bearing1_1,training,0.3770491803278688
47,2.9778698868640845,0.005327755866047027,5.719300572534619,Bearing1_1,training,0.3852459016393442
48,2.9495413417108045,0.0010192206723962074,7.160963122399052,Bearing1_1,training,0.3934426229508196
49,2.9346469839571654,-0.004515546599186345,0.8355627973000147,Bearing1_1,training,0.4016393442622951
50,2.8642023831723153,-0.009237104221184641,3.2041609760086867,Bearing1_1,training,0.4098360655737705
51,2.8305448923834033,-0.014043870417661834,6.291101238887698,Bearing1_1,training,0.4180327868852459
52,2.852107380867932,-0.014901188497681477,1.6372316407016352,Bearing1_1,training,0.4262295081967213
53,2.9102329907429016,-0.013073362165809784,1.0345485773129801,Bearing1_1,training,0.4344262295081967
54,2.8297870530556537,-0.014225746988742443,3.6003319759148367,Bearing1_1,training,0.4426229508196721
55,2.857217039655798,-0.017023162338707744,1.6157493819453554,Bearing1_1,training,0.4508196721311475
56,2.822245455638248,-0.014615365689265716,1.3187185649226574,Bearing1_1,training,0.4590163934426229
57,2.782979747940897,-0.013726907077893667,5.779710483460199,Bearing1_1,training,0.4672131147540984
58,2.8232041161283683,-0.010170656982597144,0.8281617308308455,Bearing1_1,training,0.4754098360655737
59,2.8526166375728934,-0.0044716844092668765,1.312228779002869,Bearing1_1,training,0.4836065573770491
60,2.829046674071549,-0.0037603456988269386,2.101157358356283,Bearing1_1,training,0.4918032786885246
