arm,condition,bearing_id,episode_id,step_id,normalized_lifetime,phase,level,trend,movement,reconstruction_mse,source_path,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7
arm_a,37.5Hz11kN,Bearing2_5,37.5Hz11kN/Bearing2_5,0,0.0,calibrating,,,,0.7707277536392212,D:\1\德国留学\斯图加特大学在校资料\hiwi工作\XJTU-SY_Bearing_Datasets\Data\XJTU-SY_Bearing_Datasets\37.5Hz11kN\Bearing2_5\1.csv,-3.459061622619629,-2.560224771499634,3.7053380012512207,4.090673923492432,-3.6656739711761475,-2.235048294067383,2.7813496589660645,-3.6332530975341797
arm_a,37.5Hz11kN,Bearing2_5,37.5Hz11kN/Bearing2_5,1,0.0029585798816568047,calibrating,,,,0.7770183682441711,D:\1\德国留学\斯图加特大学在校资料\hiwi工作\XJTU-SY_Bearing_Datasets\Data\XJTU-SY_Bearing_Datasets\37.5Hz11kN\Bearing2_5\2.csv,-3.4943325519561768,-2.5959651470184326,3.7339038848876953,4.130341529846191,-3.699917793273926,-2.246992349624634,2.8163352012634277,-3.6790666580200195
arm_a,37.5Hz11kN,Bearing2_5,37.5Hz11kN/Bearing2_5,2,0.005917159763313609,calibrating,,,,0.7838002443313599,D:\1\德国留学\斯图加特大学在校资料\hiwi工作\XJTU-SY_Bearing_Datasets\Data\XJTU-SY_Bearing_Datasets\37.5Hz11kN\Bearing2_5\3.csv,-3.4262235164642334,-2.5416035652160645,3.657299757003784,4.065108776092529,-3.610579252243042,-2.2203142642974854,2.7553300857543945,-3.591966152191162
arm_a,37.5Hz11kN,Bearing2_5,37.5Hz11kN/Bearing2_5,3,0.008875739644970414,calibrating,,,,0.7952700853347778,D:\1\德国留学\斯图加特大学在校资料\hiwi工作\XJTU-SY_Bearing_Datasets\Data\XJTU-SY_Bearing_Datasets\37.5Hz11kN\Bearing2_5\4.csv,-3.558844804763794,-2.6286864280700684,3.761335849761963,4.172819137573242,-3.7269177436828613,-2.290513038635254,2.839141368865967,-3.7013330459594727
arm_a,37.5Hz11kN,Bearing2_5,37.5Hz11kN/Bearing2_5,4,0.011834319526627219,calibrating,,,,0.7885439395904541,D:\1\德国留学\斯图加特大学在校资料\hiwi工作\XJTU-SY_Bearing_Datasets\Data\XJTU-SY_Bearing_Datasets\37.5Hz11kN\Bearing2_5\5.csv,-3.3900413513183594,-2.502157688140869,3.6063826084136963,4.030844688415527,-3.5683679580688477,-2.183441638946533,2.7146096229553223,-3.556976318359375
arm_a,37.5Hz11kN,Bearing2_5,37.5Hz11kN/Bearing2_5,5,0.014792899408284023,calibrating,,,,0.7774410247802734,D:\1\德国留学\斯图加特大学在校资料\hiwi工作\XJTU-SY_Bearing_Datasets\Data\XJTU-SY_Bearing_Datasets\37.5Hz11kN\Bearing2_5\6.csv,-3.312143087387085,-2.42826247215271,3.5065829753875732,3.893768072128296,-3.497065782546997,-2.1624786853790283,2.6266677379608154,-3.455042600631714
arm_a,37.5Hz11kN,Bearing2_5,37.5Hz11kN/Bearing2_5,6,0.01775147928994083,calibrating,,,,0.7664988040924072,D:\1\德国留学\斯图加特大学在校资料\hiwi工作\XJTU-SY_Bearing_Datasets\Data\XJTU-SY_Bearing_Datasets\37.5Hz11kN\Bearing2_5\7.csv,-3.5301876068115234,-2.60736083984375,3.7389044761657715,4.162944793701172,-3.7180252075195312,-2.2897448539733887,2.820798397064209,-3.6914420127868652
arm_a,37.5Hz11kN,Bearing2_5,37.5Hz11kN/Bearing2_5,7,0.020710059171597635,calibrating,,,,0.7837971448898315,D:\1\德国留学\斯图加特大学在校资料\hiwi工作\XJTU-SY_Bearing_Datasets\Data\XJTU-SY_Bearing_Datasets\37.5Hz11kN\Bearing2_5\8.csv,-3.6523146629333496,-2.698803186416626,3.8744640350341797,4.282756805419922,-3.836989641189575,-2.364590644836426,2.912393808364868,-3.8080177307128906
arm_a,37.5Hz11kN,Bearing2_5,37.5Hz11kN/Bearing2_5,8,0.023668639053254437,calibrating,,,,0.8049232363700867,D:\1\德国留学\斯图加特大学在校资料\hiwi工作\XJTU-SY_Bearing_Datasets\Data\XJTU-SY_Bearing_Datasets\37.5Hz11kN\Bearing2_5\9.csv,-3.5536892414093018,-2.6123390197753906,3.750828504562378,4.174530029296875,-3.736091136932373,-2.303203582763672,2.844208240509033,-3.6929819583892822
arm_a,37.5Hz11kN,Bearing2_5,37.5Hz11kN/Bearing2_5,9,0.026627218934911243,calibrating,,,,0.7927310466766357,D:\1\德国留学\斯图加特大学在校资料\hiwi工作\XJTU-SY_Bearing_Datasets\Data\XJTU-SY_Bearing_Datasets\37.5Hz11kN\Bearing2_5\10.csv,-3.6494884490966797,-2.6889352798461914,3.8549938201904297,4.281857490539551,-3.8169002532958984,-2.3551416397094727,2.899228572845459,-3.7920501232147217
