bearing_id,step_id,normalized_lifetime,level,movement
Bearing3_1,0,0.0,,
Bearing3_1,1,0.00039416633819471815,,
Bearing3_1,2,0.0007883326763894363,,
Bearing3_1,3,0.0011824990145841545,,
Bearing3_1,4,0.0015766653527788726,,
Bearing3_1,5,0.001970831690973591,,
Bearing3_1,6,0.002364998029168309,,
Bearing3_1,7,0.0027591643673630273,,
Bearing3_1,8,0.0031533307055577452,,
Bearing3_1,9,0.0035474970437524636,,
Bearing3_1,10,0.003941663381947182,,
Bearing3_1,11,0.0043358297201418995,,
Bearing3_1,12,0.004729996058336618,,
Bearing3_1,13,0.005124162396531336,,
Bearing3_1,14,0.005518328734726055,,
Bearing3_1,15,0.005912495072920773,0.23731484990623547,0.42184451558703995
Bearing3_1,16,0.0063066614111154905,0.2562044328983741,0.26529927570783096
Bearing3_1,17,0.006700827749310209,0.2911676810534096,0.15214217923393047
Bearing3_1,18,0.007094994087504927,0.31138211114429754,0.2976487750607361
Bearing3_1,19,0.007489160425699646,0.2692232901342107,1.274891537815317
Bearing3_1,20,0.007883326763894364,0.2841863936341175,0.6174268782780464
Bearing3_1,21,0.008277493102089082,0.286018376039606,0.4934056717299003
Bearing3_1,22,0.008671659440283799,0.29038835874334823,0.24709840383261814
Bearing3_1,23,0.009065825778478517,0.30698148286583476,0.20419737529232795
Bearing3_1,24,0.009459992116673236,0.31369956320646625,0.5195464886588107
Bearing3_1,25,0.009854158454867954,0.31058111669054295,0.9001582090230003
Bearing3_1,26,0.010248324793062672,0.3285324475503105,0.5916169198283495
Bearing3_1,27,0.01064249113125739,0.3350116605063331,0.3994066707535817
Bearing3_1,28,0.01103665746945211,0.29553940683165597,1.925770542424449
Bearing3_1,29,0.011430823807646828,0.30623172475442395,0.5499384692232591
Bearing3_1,30,0.011824990145841546,0.2625693511572106,1.333618055082533
Bearing3_1,31,0.012219156484036263,0.23377095717823054,0.11677230206843313
Bearing3_1,32,0.012613322822230981,0.20085290645465034,0.3556113797879345
Bearing3_1,33,0.0130074891604257,0.1456301522644715,0.6726651227209772
Bearing3_1,34,0.013401655498620418,0.08454615175377808,0.724985491451536
Bearing3_1,35,0.013795821836815136,0.02398100915637763,0.8763698204027882
Bearing3_1,36,0.014189988175009854,-0.08712756738936041,1.2071190427536727
Bearing3_1,37,0.014584154513204573,-0.1984722381713684,0.43243312217605523
