bearing_id,lag_steps,lifetime_fraction,median_feature_autocorrelation
Bearing3_1,1,0.00039416633819471815,0.8558341199672969
Bearing3_1,10,0.003941663381947182,0.8342270208921831
Bearing3_1,30,0.011824990145841546,0.7521204146851733
Bearing3_1,60,0.023649980291683092,0.6543843057403519
Bearing3_2,1,0.0004008016032064128,0.8302319756760905
Bearing3_2,10,0.004008016032064128,0.7277425220630419
Bearing3_2,30,0.012024048096192385,0.6092494124576056
Bearing3_2,60,0.02404809619238477,0.5528561425207066
Bearing3_3,1,0.002702702702702703,0.9275802654775719
Bearing3_3,10,0.02702702702702703,0.7347491606808813
Bearing3_3,30,0.08108108108108109,0.03500485897018258
Bearing3_3,60,0.16216216216216217,-0.07567235107035566
