arm,seed,bearing_id,full_spearman,first_to_last_block_mean_change,first_to_last_block_direction,adjacent_block_mean_increases
source_only,20260918,Bearing3_1,-0.07264125793841981,0.00992026194878743,up,2
source_only,20260921,Bearing3_1,0.41359248487715095,0.12508902056362686,up,3
source_only,20260924,Bearing3_1,-0.07441631503013268,0.05921491707022497,up,2
global_mmd,20260918,Bearing3_1,0.41511035057494633,0.04964087922016056,up,2
global_mmd,20260921,Bearing3_1,0.3158453997776438,0.10517175158295106,up,3
global_mmd,20260924,Bearing3_1,-0.04805389574566598,0.14035667141708805,up,2
conditional_mmd,20260918,Bearing3_1,0.5227401671556723,0.08357284827649182,up,3
conditional_mmd,20260921,Bearing3_1,0.2345548607598401,0.07806121244087932,up,3
conditional_mmd,20260924,Bearing3_1,0.1677396883056306,0.09918878222339031,up,2
source_only,20260918,Bearing3_2,-0.053902980941088,0.0326784010160871,up,3
source_only,20260921,Bearing3_2,-0.8362212549309211,-0.32708750998379593,down,1
source_only,20260924,Bearing3_2,-0.8486042909268217,-0.5362740363105833,down,1
global_mmd,20260918,Bearing3_2,-0.4544628061254944,-0.08079299543877103,down,1
global_mmd,20260921,Bearing3_2,-0.6898806853043062,-0.2678776164686453,down,1
global_mmd,20260924,Bearing3_2,-0.8613570481551343,-0.5829579981044533,down,1
conditional_mmd,20260918,Bearing3_2,-0.6915006509429938,-0.22848972702997628,down,1
conditional_mmd,20260921,Bearing3_2,-0.7030086566343001,-0.27098468244075774,down,1
conditional_mmd,20260924,Bearing3_2,-0.8490269925575561,-0.5526513716330629,down,1
source_only,20260918,Bearing3_3,-0.3657681940700808,-0.01265459920674028,down,1
source_only,20260921,Bearing3_3,-0.4454620867280636,0.1382755511448727,up,1
source_only,20260924,Bearing3_3,-0.5378542876412628,-0.13742566859265706,down,1
global_mmd,20260918,Bearing3_3,-0.25846965128766713,0.09548744579525412,up,2
global_mmd,20260921,Bearing3_3,-0.4442798158562005,0.18941658617005694,up,1
global_mmd,20260924,Bearing3_3,-0.53636111548467,-0.10477950575383935,down,1
conditional_mmd,20260918,Bearing3_3,-0.25742790873649063,0.10316271340541608,up,2
conditional_mmd,20260921,Bearing3_3,-0.43286623724846496,0.19462836432295874,up,1
conditional_mmd,20260924,Bearing3_3,-0.5312186719368703,-0.10740651330029642,down,1
