bearing_id,split,step_id,normalized_lifetime,distance_level,hmm_expected_stage,hmm_stage,hmm_confidence,included_in_common_score,hmm_probability_0,hmm_probability_1,hmm_probability_2
Bearing1_1,train,0,0.0,,0.0,0,1.0,False,1.0,0.0,0.0
Bearing1_1,train,1,0.00819672131147541,,1.0332733304379917e-15,0,0.9999999999999982,False,0.9999999999999982,2.0665466608759833e-15,0.0
Bearing1_1,train,2,0.01639344262295082,,1.6768453966304256e-14,0,0.9999999999999662,False,0.9999999999999662,3.353690793260851e-14,0.0
Bearing1_1,train,3,0.02459016393442623,,5.616130575752013e-13,0,0.9999999999988765,False,0.9999999999988765,1.1232261151504026e-12,0.0
Bearing1_1,train,4,0.03278688524590164,,1.5215544270494861e-05,0,0.9999695689114594,False,0.9999695689114594,3.0431088540989723e-05,0.0
Bearing1_1,train,5,0.040983606557377046,,0.49948328003659404,1,0.9989665600731881,False,0.00103343992681123,0.9989665600731881,0.0
Bearing1_1,train,6,0.04918032786885246,,0.5,1,1.0,False,6.70449033530461e-17,1.0,0.0
Bearing1_1,train,7,0.05737704918032787,,0.5,1,1.0,False,1.7868809903771658e-28,1.0,0.0
Bearing1_1,train,8,0.06557377049180328,,0.5,1,1.0,False,2.4393342853857678e-42,1.0,0.0
Bearing1_1,train,9,0.07377049180327869,,0.5,1,1.0,False,1.8402889036036867e-74,1.0,0.0
Bearing1_1,train,10,0.08196721311475409,,0.5,1,1.0,False,2.1562163039842847e-112,1.0,0.0
Bearing1_1,train,11,0.09016393442622951,,0.5,1,1.0,False,5.8490823857793456e-176,1.0,0.0
Bearing1_1,train,12,0.09836065573770492,,0.5,1,1.0,False,6.321321639637536e-239,1.0,0.0
Bearing1_1,train,13,0.10655737704918032,,0.5,1,1.0,False,1.620777382e-313,1.0,0.0
Bearing1_1,train,14,0.11475409836065574,,0.5,1,1.0,False,0.0,1.0,0.0
Bearing1_1,train,15,0.12295081967213115,1.5807108879089355,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,16,0.13114754098360656,1.6577584743499756,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,17,0.13934426229508196,1.7724541425704956,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,18,0.14754098360655737,1.791355013847351,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,19,0.1557377049180328,1.8241615295410156,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,20,0.16393442622950818,1.8423190116882324,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,21,0.1721311475409836,1.9324582815170288,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,22,0.18032786885245902,1.904271125793457,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,23,0.1885245901639344,1.955491542816162,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,24,0.19672131147540983,2.016653537750244,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,25,0.20491803278688525,2.0861611366271973,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,26,0.21311475409836064,2.1498563289642334,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,27,0.22131147540983606,2.2521233558654785,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,28,0.22950819672131148,2.3072562217712402,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,29,0.23770491803278687,2.38350248336792,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,30,0.2459016393442623,2.4891350269317627,0.5,1,1.0,True,0.0,1.0,0.0
