bearing_id,split,step_id,normalized_lifetime,distance_level,hmm_expected_stage,hmm_stage,hmm_confidence,included_in_common_score,hmm_probability_0,hmm_probability_1,hmm_probability_2
Bearing1_1,train,0,0.0,,0.0,0,1.0,False,1.0,0.0,0.0
Bearing1_1,train,1,0.00819672131147541,,1.03327333043799e-15,0,0.999999999999998,False,0.999999999999998,2.06654666087598e-15,0.0
Bearing1_1,train,2,0.01639344262295082,,1.6768453966304278e-14,0,0.9999999999999665,False,0.9999999999999665,3.3536907932608556e-14,0.0
Bearing1_1,train,3,0.02459016393442623,,5.616130575752012e-13,0,0.9999999999988768,False,0.9999999999988768,1.1232261151504024e-12,0.0
Bearing1_1,train,4,0.03278688524590164,,1.5215544270494858e-05,0,0.999969568911459,False,0.999969568911459,3.0431088540989716e-05,0.0
Bearing1_1,train,5,0.040983606557377046,,0.4994832800365944,1,0.9989665600731888,False,0.0010334399268112293,0.9989665600731888,0.0
Bearing1_1,train,6,0.04918032786885246,,0.49999999999999994,1,0.9999999999999999,False,6.704490335304573e-17,0.9999999999999999,0.0
Bearing1_1,train,7,0.05737704918032787,,0.5,1,1.0,False,1.7868809903771557e-28,1.0,0.0
Bearing1_1,train,8,0.06557377049180328,,0.5,1,1.0,False,2.4393342853857885e-42,1.0,0.0
Bearing1_1,train,9,0.07377049180327869,,0.5,1,1.0,False,1.8402889036037e-74,1.0,0.0
Bearing1_1,train,10,0.08196721311475409,,0.5,1,1.0,False,2.156216303984312e-112,1.0,0.0
Bearing1_1,train,11,0.09016393442622951,,0.5,1,1.0,False,5.8490823857793814e-176,1.0,0.0
Bearing1_1,train,12,0.09836065573770492,,0.5,1,1.0,False,6.321321639637695e-239,1.0,0.0
Bearing1_1,train,13,0.10655737704918032,,0.5,1,1.0,False,1.6207773819e-313,1.0,0.0
Bearing1_1,train,14,0.11475409836065574,,0.5,1,1.0,False,0.0,1.0,0.0
Bearing1_1,train,15,0.12295081967213115,1.5807108879089355,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,16,0.13114754098360656,1.6577584743499756,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,17,0.13934426229508196,1.7724541425704956,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,18,0.14754098360655737,1.791355013847351,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,19,0.1557377049180328,1.8241615295410156,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,20,0.16393442622950818,1.8423190116882324,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,21,0.1721311475409836,1.9324582815170288,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,22,0.18032786885245902,1.904271125793457,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,23,0.1885245901639344,1.955491542816162,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,24,0.19672131147540983,2.016653537750244,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,25,0.20491803278688525,2.0861611366271973,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,26,0.21311475409836064,2.1498563289642334,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,27,0.22131147540983606,2.2521233558654785,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,28,0.22950819672131148,2.3072562217712402,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,29,0.23770491803278687,2.38350248336792,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,30,0.2459016393442623,2.4891350269317627,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,31,0.2540983606557377,2.5230562686920166,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,32,0.26229508196721313,2.598602533340454,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,33,0.27049180327868855,2.630685806274414,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,34,0.2786885245901639,2.710963010787964,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,35,0.28688524590163933,2.825164794921875,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,36,0.29508196721311475,2.8423752784729004,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,37,0.30327868852459017,2.8731236457824707,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,38,0.3114754098360656,2.910956621170044,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,39,0.319672131147541,2.9132370948791504,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,40,0.32786885245901637,2.988157033920288,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,41,0.3360655737704918,2.992945909500122,0.5,1,1.0,True,0.0,1.0,0.0
Bearing1_1,train,42,0.3442622950819672,3.006256341934204,0.5,1,1.0,True,0.0,1.0,0.0
