bearing_id,step_id,measurement_number,rms_h,rms_v,kurtosis_h,kurtosis_v,peak_h,peak_v,latent_pc1,local_distance,movement,reconstruction_mse,level,hmm_stage,hmm_expected,emission_winner,log_emission_0,log_emission_1,log_emission_2
Bearing1_1,0,1,0.5638898794563814,0.5604705115751583,3.071352207656892,2.9753344888477677,2.52988338470459,2.469348907470703,-11.393386470505737,2.131343624337994,0.0,0.2677716612815857,,0,0.0,0,7.31143773390313,-27.005158822063194,-9094.223578084377
Bearing1_1,1,2,0.5890775374816736,0.566860826736617,3.1379415589776185,2.9642195908755644,3.6231040954589844,2.812349796295166,-10.737734830851672,1.4728493731232786,0.6588681857174516,0.25115373730659485,,0,1.0332733304379917e-15,0,9.742518969229096,-20.45949646052663,-8060.941185900574
Bearing1_1,2,3,0.589536202808882,0.5688734167333295,3.2462593846189085,2.96496990737877,3.3217787742614746,2.327442169189453,-10.593214736374478,1.3268489703101716,0.14787909761968288,0.25006914138793945,,0,1.6768453966304256e-14,0,8.324636789362724,-19.090611013067686,-7817.923214356277
Bearing1_1,3,4,0.5972741331769146,0.5687879546130371,3.2481904790595038,2.923607247417947,2.872622013092041,2.6929378509521484,-10.44454813258865,1.1778776062353067,0.1511136118492906,0.250105619430542,,0,5.616130575752013e-13,0,6.099609227420128,-17.80432485304527,-7611.574165308817
Bearing1_1,4,5,0.6046452147525635,0.5829561082763262,3.393917989132777,3.0356262543610093,4.136919975280762,2.655816078186035,-9.949470610055505,0.6818143845153883,0.4978763709741066,0.23418794572353363,,0,1.5215544270494861e-05,0,-6.960235239347025,-13.749368599788344,-6880.161312288226
Bearing1_1,5,6,0.6276674304337503,0.602097725174814,3.5501570146152095,3.003375735259128,4.627382755279541,2.587246894836426,-9.597562204969947,0.3307126213876102,0.35307273463564465,0.22617468237876892,,1,0.49948328003659404,1,-21.72000812276753,-11.236431811134338,-6420.42820317166
Bearing1_1,6,7,0.6390831355516932,0.5939280599036301,3.821914103522289,3.0407614134111856,4.8748016357421875,2.739846706390381,-9.251680586820854,0.02776427057347855,0.3509242907552434,0.21832275390625,,1,0.5,1,-39.3830641202233,-9.023492764125901,-5962.8129919162075
Bearing1_1,7,8,0.6285348242874839,0.5944758635058842,3.5761798052152898,3.0691012939700038,4.286158084869385,2.805781364440918,-9.305401699215654,0.04009683727498456,0.060964967699852615,0.22214393317699432,,1,0.5,1,-36.00198089124638,-9.35898065030619,-6022.491154149383
Bearing1_1,8,9,0.6354192444445299,0.58903573337131,3.5170792527888963,3.1023024165475865,3.98709774017334,3.554868698120117,-9.223891013628087,0.05702527792973414,0.08901991576097253,0.21874693036079407,,1,0.5,1,-40.748955333262145,-8.831759209731675,-5907.381764024425
Bearing1_1,9,10,0.654120476152419,0.5911269143120046,4.799267499338603,3.2497530773522185,6.721889972686768,4.586362838745117,-8.659322820555948,0.6159118692383437,0.5671078711352996,0.21470284461975098,,1,0.5,1,-79.73249769734515,-5.775713772124777,-5201.066117267677
