bearing_id,step_id,normalized_lifetime,level
Bearing3_1,0,0.0,
Bearing3_1,1,0.00039416633819471815,
Bearing3_1,2,0.0007883326763894363,
Bearing3_1,3,0.0011824990145841545,
Bearing3_1,4,0.0015766653527788726,
Bearing3_1,5,0.001970831690973591,
Bearing3_1,6,0.002364998029168309,
Bearing3_1,7,0.0027591643673630273,
Bearing3_1,8,0.0031533307055577452,
Bearing3_1,9,0.0035474970437524636,
Bearing3_1,10,0.003941663381947182,
Bearing3_1,11,0.0043358297201418995,
Bearing3_1,12,0.004729996058336618,
Bearing3_1,13,0.005124162396531336,
Bearing3_1,14,0.005518328734726055,
Bearing3_1,15,0.005912495072920773,0.30258497647434657
Bearing3_1,16,0.0063066614111154905,0.3712907498065841
Bearing3_1,17,0.006700827749310209,0.38943070263697965
Bearing3_1,18,0.007094994087504927,0.406775724118699
Bearing3_1,19,0.007489160425699646,0.36512239200408303
Bearing3_1,20,0.007883326763894364,0.37711847432998
Bearing3_1,21,0.008277493102089082,0.3634015229361009
Bearing3_1,22,0.008671659440283799,0.36618856818269363
Bearing3_1,23,0.009065825778478517,0.38123865485050934
Bearing3_1,24,0.009459992116673236,0.3767262744520867
Bearing3_1,25,0.009854158454867954,0.3713918966748258
Bearing3_1,26,0.010248324793062672,0.37871497316593383
Bearing3_1,27,0.01064249113125739,0.3697976498806436
Bearing3_1,28,0.01103665746945211,0.3181560285114392
Bearing3_1,29,0.011430823807646828,0.333963282486992
Bearing3_1,30,0.011824990145841546,0.30047172441732717
Bearing3_1,31,0.012219156484036263,0.28139861378785547
Bearing3_1,32,0.012613322822230981,0.2620668766633458
Bearing3_1,33,0.0130074891604257,0.21464895245779955
Bearing3_1,34,0.013401655498620418,0.1789789518050154
Bearing3_1,35,0.013795821836815136,0.13803986523911002
Bearing3_1,36,0.014189988175009854,0.045411179764706544
Bearing3_1,37,0.014584154513204573,-0.033331124452730676
Bearing3_1,38,0.014978320851399291,-0.06848467574237778
Bearing3_1,39,0.015372487189594008,-0.16850145573538672
Bearing3_1,40,0.015766653527788728,-0.1751838125441981
Bearing3_1,41,0.016160819865983445,-0.18056549810764294
Bearing3_1,42,0.016554986204178165,-0.21135649272380436
Bearing3_1,43,0.01694915254237288,-0.2328883062733758
Bearing3_1,44,0.017343318880567598,-0.2647776730343925
Bearing3_1,45,0.017737485218762318,-0.28571074377996464
